Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cote d'Ivoire,CIV,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02117E+12,1.13756E+12,1.2717E+12,1.2531E+12,1.3343E+12,1.2881E+12,1.4676E+12,1.6749E+12,1.66996E+12,1.83671E+12,1.66172E+12,2.09838E+12,2.09727E+12,2.22266E+12
Cameroon,CMR,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8806E+11,5.2805E+11,4.7704E+11,4.5362E+11,4.4794E+11,4.8094E+11,,,6.746E+11,7.406E+11,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.704E+11,2.664E+11,3.332E+11,3.15E+11,3.228E+11,4.646E+11,4.382E+11,3.864E+11,,4.84423E+11,5.90246E+11,4.11407E+11,7.56253E+11,7.95963E+11,8.17773E+11,8.51592E+11,8.63762E+11,7.27527E+11,7.96138E+11,,,,
Colombia,COL,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71366E+13,3.35265E+13,3.53109E+13,,,7.52279E+13,,,,,1.17082E+14,1.2404E+14,1.38215E+14,1.49957E+14,1.66847E+14,2.00059E+14,2.4615E+14
Comoros,COM,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26064840199,28835337364,30285487701,30891300375,30865191273,,,,,
Costa Rica,CRI,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,1580000000,1990000000,2740000000,3380000000,4250000000,6200000000,7360000000,8940000000,10330000000,16210000000,27120000000,32640000000,38610000000,59810000000,72730000000,81190000000,1.0375E+11,1.2679E+11,1.6227E+11,2.0483E+11,2.6381E+11,3.7887E+11,4.4803E+11,5.4558E+11,6.2775E+11,7.4126E+11,9.0095E+11,1.01953E+12,1.19576E+12,1.46718E+12,1.6265E+12,1.83585E+12,2.16885E+12,2.50862E+12,2.93904E+12,3.51231E+12,4.36159E+12,5.07201E+12,5.48773E+12,6.16261E+12,6.7522E+12,7.24112E+12
Caribbean small states,CSS,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
