Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Congo, Rep.",COG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.82740855,35.04802,33.91831915,29.82389699,24.83650073,34.27011876,38.10103469,26.66114676,,23.6499894,28.04154251,20.24841857,30.79457438,24.79095596,20.22888735,21.16652936,16.26508296,16.06042374,13.3867093,,,,
Colombia,COL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.31660667,22.12019435,16.93314287,,,27.62228172,,,,,24.38761162,24.57948071,25.36410454,24.1907026,25.11842196,28.15761361,32.494764
Comoros,COM,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.24272087,29.6098116,24.82951779,22.93368697,22.71518946,,,,,
Costa Rica,CRI,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,15.54750831,15.05784798,16.30505943,16.34777225,16.1408549,20.53394925,21.28127096,21.59133407,18.09021274,16.62477154,16.59637334,15.95470438,15.93941373,19.56707287,19.83646895,17.66642506,18.62878267,18.70852363,18.50473697,17.7618076,19.2520968,22.84776629,21.27714138,22.17843645,21.0370588,20.43823394,19.96448606,20.74520062,22.16565221,24.20716851,23.29028242,22.54360785,22.73668621,21.7803335,21.6130953,22.3689116,25.89287587,26.57351937,26.31724306,27.05060078,27.44029892,27.14567287
Caribbean small states,CSS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.67515901,27.50985454,26.04691772,26.30232562,25.46914648,28.50633668,27.03895686,28.32997551,33.18816613,31.44486632,,,,
Cuba,CUB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,30.21400575,25.88200156,23.34436206,23.74333745,22.50079365,24.51006136,25.72945141,26.7528542,30.54279868,26.65619705,27.20010641,25.26953632,27.37332961,27.70279005,27.4752965,50.40163665,51.9479482,50.69858638,50.18478707,50.97395482,46.04682657,48.02884388,50.52946457,54.13770817,53.42787908,54.12369786,55.66217519,58.09446754,63.72186112,61.33779259,63.45232413,62.55712199,61.11899282,62.47574878,39.24086773,39.05693455,40.01182342,40.37996797,41.07856199,47.88113059
